Repo,PR Name,Author,Date,PR URL
rooster-reminders-back-end,deploy | dolphin create patient/rp | handles all errors when creating rp,BryantFukushima,2024-09-03,https://github.com/roostergrin/rooster-reminders-back-end/pull/2745
rooster-reminders-back-end,deploy fix | lead model | ignore 'N/A' values in tracking parameters ,Gordoburrito,2024-08-28,https://github.com/roostergrin/rooster-reminders-back-end/pull/2743
rooster-reminders-back-end,fix | lead model | ignore 'N/A' values in tracking parameters,Gordoburrito,2024-08-28,https://github.com/roostergrin/rooster-reminders-back-end/pull/2742
rooster-reminders-back-end,update | gemfile | spring stuff and minor cleanup,qooqu,2024-08-28,https://github.com/roostergrin/rooster-reminders-back-end/pull/2741
rooster-reminders-back-end,deploy hotfix | updates to use json instead of the ruby hash,Gordoburrito,2024-08-27,https://github.com/roostergrin/rooster-reminders-back-end/pull/2740
rooster-reminders-back-end,hotfix | updates to use json instead of the ruby hash,Gordoburrito,2024-08-27,https://github.com/roostergrin/rooster-reminders-back-end/pull/2739
rooster-reminders-back-end,"deploy feat | Telecom Click Tracking, website leads controller",Gordoburrito,2024-08-27,https://github.com/roostergrin/rooster-reminders-back-end/pull/2738
crm-thread,removes userTrackingNuxt.js,Gordoburrito,2024-08-27,https://github.com/roostergrin/crm-thread/pull/2
openchair_widget,deploy update | send tracking data,Gordoburrito,2024-08-27,https://github.com/roostergrin/openchair_widget/pull/310
rooster_reminders_front_end,deploy hotfix | mms | broke non dsos w smile des of atl feat,qooqu,2024-08-26,https://github.com/roostergrin/rooster_reminders_front_end/pull/841
openchair_widget,deploy update | patient form | change for mccomb custom feat,qooqu,2024-08-26,https://github.com/roostergrin/openchair_widget/pull/309
rooster_reminders_front_end,deploy update | mms | show media from unknown numbers for smile des of atl,qooqu,2024-08-26,https://github.com/roostergrin/rooster_reminders_front_end/pull/839
rooster_reminders_front_end,hotfix | mms | broke non dsos w smile des of atl feat,qooqu,2024-08-26,https://github.com/roostergrin/rooster_reminders_front_end/pull/840
rooster-reminders-back-end,Deploy feat | app/async_workers/crm/convert_leads/worker.rb | add patient info to the lead ,Gordoburrito,2024-08-26,https://github.com/roostergrin/rooster-reminders-back-end/pull/2737
openchair_widget,update | patient form | change for mccomb custom feat,qooqu,2024-08-26,https://github.com/roostergrin/openchair_widget/pull/308
openchair_widget,deploy feat | patient form | adds custom referrer for mccomb,qooqu,2024-08-26,https://github.com/roostergrin/openchair_widget/pull/307
rooster_reminders_front_end,update | mms | show media from unknown numbers for smile des of atl,qooqu,2024-08-23,https://github.com/roostergrin/rooster_reminders_front_end/pull/837
openchair_widget,feat | patient form | adds custom referrer for mccomb,qooqu,2024-08-23,https://github.com/roostergrin/openchair_widget/pull/306
rooster_reminders_front_end,instead of prop drilling I think u can do this,Gordoburrito,2024-08-23,https://github.com/roostergrin/rooster_reminders_front_end/pull/838
openchair_widget,update | extraQuestion | handle non-array,qooqu,2024-08-22,https://github.com/roostergrin/openchair_widget/pull/304
openchair_widget,deploy update | extraQuestion | handle non-array,qooqu,2024-08-22,https://github.com/roostergrin/openchair_widget/pull/305
rooster_reminders_front_end,update | missed call text | adds tw ortho,qooqu,2024-08-22,https://github.com/roostergrin/rooster_reminders_front_end/pull/835
rooster_reminders_front_end,deploy update | missed call text | adds tw ortho,qooqu,2024-08-22,https://github.com/roostergrin/rooster_reminders_front_end/pull/836
rooster-reminders-back-end,feat | website leads controller | handles new way we are posting to the backend from the website form,Gordoburrito,2024-08-21,https://github.com/roostergrin/rooster-reminders-back-end/pull/2736
rooster-reminders-back-end,feat | app/async_workers/crm/convert_leads/worker.rb | add patient info to the lead,Gordoburrito,2024-08-20,https://github.com/roostergrin/rooster-reminders-back-end/pull/2735
rooster-reminders-back-end,WIP update | adds E2E testing,qooqu,2024-08-20,https://github.com/roostergrin/rooster-reminders-back-end/pull/2733
rooster-reminders-back-end,feat | Telecom Click Tracking | Implement Redis-based tracking for telecom clicks using tracking history object,Gordoburrito,2024-08-20,https://github.com/roostergrin/rooster-reminders-back-end/pull/2734
rooster-reminders-back-end,deploy fix | tops table mapping | adds nil guard ,qooqu,2024-08-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2732
rooster-reminders-back-end,enh | unsynced_checker.rb | add connection validation to unsynced checker,Gordoburrito,2024-08-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2730
rooster-reminders-back-end,fix | tops table mapping | adds nil guard,qooqu,2024-08-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2731
openchair_widget,feat | filter options | adds extra text to header for Lenhart Orthodontics,BryantFukushima,2024-08-13,https://github.com/roostergrin/openchair_widget/pull/302
openchair_widget,deploy | filter options | adds extra text to header for Lenhart Orthodontics,BryantFukushima,2024-08-13,https://github.com/roostergrin/openchair_widget/pull/303
openchair_widget,update | extraQuestions | fix for add type text,qooqu,2024-08-13,https://github.com/roostergrin/openchair_widget/pull/300
openchair_widget,deploy update | extraQuestions | add type text ,qooqu,2024-08-13,https://github.com/roostergrin/openchair_widget/pull/301
rooster-reminders-back-end,update | booking success | temp adds mccomb logging,qooqu,2024-08-12,https://github.com/roostergrin/rooster-reminders-back-end/pull/2728
rooster-reminders-back-end,deploy update | booking success | temp adds mccomb logging,qooqu,2024-08-12,https://github.com/roostergrin/rooster-reminders-back-end/pull/2729
rooster-reminders-back-end,hot fix | models/lead.rb | makes determine_lead_source_id available to the class method,Gordoburrito,2024-08-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2723
rooster-reminders-back-end,deploy hot fix | models/lead.rb | makes determine_lead_source_id available to the class method ,Gordoburrito,2024-08-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2724
rooster-reminders-back-end,fix | dolphin create appt | date property time,BryantFukushima,2024-08-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2725
rooster-reminders-back-end,deploy fix | dolphin create appt | date property time,BryantFukushima,2024-08-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2726
rooster-reminders-back-end,deploy feat | lead status management | added 'awaiting review' status for leads,Gordoburrito,2024-08-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2727
openchair_widget,deploy Feat: ADA compliance ,qooqu,2024-08-08,https://github.com/roostergrin/openchair_widget/pull/298
openchair_widget,update | extraQuestions | add type text,qooqu,2024-08-08,https://github.com/roostergrin/openchair_widget/pull/299
crm-thread,Content generation,Gordoburrito,2024-08-08,https://github.com/roostergrin/crm-thread/pull/1
rooster-reminders-back-end,deploy hotfix | tracking_controller website_lead_controller | uses new Lead model functions ,Gordoburrito,2024-08-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2722
rooster-reminders-back-end,hotfix | tracking_controller  website_lead_controller | uses new Lead model functions,Gordoburrito,2024-08-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2721
rooster-reminders-back-end,deploy fix | booking and lead models | update tracking history and controller actions,Gordoburrito,2024-08-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2720
rooster-reminders-back-end,deploy fix | dolphin create appt | handle errors,BryantFukushima,2024-08-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2719
rooster-reminders-back-end,update | refill mms worker | num mms goes by location for DSOs,qooqu,2024-08-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2718
rooster-reminders-back-end,fix | dolphin create appt | handles errors correctly,BryantFukushima,2024-08-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2717
rooster-reminders-back-end,feat | lead status management | added 'awaiting review' status for leads,Gordoburrito,2024-08-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2716
rooster-reminders-back-end,fix | booking and lead models | update tracking history and controller actions,Gordoburrito,2024-08-01,https://github.com/roostergrin/rooster-reminders-back-end/pull/2715
rooster-reminders-back-end,fix | leads/update_controller.rb | adds lead source contact type to update controller,Gordoburrito,2024-07-31,https://github.com/roostergrin/rooster-reminders-back-end/pull/2712
openchair_widget,deploy update | ssp liine | add aso endpoint,qooqu,2024-07-31,https://github.com/roostergrin/openchair_widget/pull/297
rooster-reminders-back-end,hotfix | dolphin OS | specific specialty for surfside PEDO doc and loc,BryantFukushima,2024-07-31,https://github.com/roostergrin/rooster-reminders-back-end/pull/2713
rooster-reminders-back-end,deploy [dolphin OS | specific specialty for surfside PEDO doc and loc] [leads/update_controller.rb | adds lead source contact type],BryantFukushima,2024-07-31,https://github.com/roostergrin/rooster-reminders-back-end/pull/2714
openchair_widget,update | ssp liine | add aso endpoint,qooqu,2024-07-31,https://github.com/roostergrin/openchair_widget/pull/296
rooster-reminders-back-end,Enh openchair crm integration | leads and booking controllers | adds ability to handle new parameters and refactors to keep DRY,Gordoburrito,2024-07-30,https://github.com/roostergrin/rooster-reminders-back-end/pull/2710
openchair_widget,update | send tracking data,Gordoburrito,2024-07-30,https://github.com/roostergrin/openchair_widget/pull/295
rooster-reminders-back-end,"Enh openchair add utm to email uses crm integration |  booking, booking_patient, new_patient_messages | add utm and referrer source",Gordoburrito,2024-07-30,https://github.com/roostergrin/rooster-reminders-back-end/pull/2711
rooster-reminders-back-end,deploy fix | alpha senders to uk only work with +44 format,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2705
rooster-reminders-back-end,fix | alpha sender | private method error,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2706
rooster-reminders-back-end,deploy feat | adds alphanumeric senders #2690,Gordoburrito,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2699
rooster-reminders-back-end,update | uk format checker,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2700
rooster-reminders-back-end,deploy update | uk format checker,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2701
rooster-reminders-back-end,update | uk format checker,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2702
rooster-reminders-back-end,deploy update | uk format checker,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2703
rooster-reminders-back-end,fix | alpha senders to uk only work with +44 format,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2704
rooster-reminders-back-end,deploy fix | uk twilio formatter | made implicit returns explicit,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2709
rooster-reminders-back-end,fix | uk twilio formatter | made implicit returns explicit,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2708
rooster-reminders-back-end,deploy fix | alpha sender | private method error,qooqu,2024-07-29,https://github.com/roostergrin/rooster-reminders-back-end/pull/2707
rooster-reminders-back-end,deploy update | patients controller | adds active pts only pracs,qooqu,2024-07-25,https://github.com/roostergrin/rooster-reminders-back-end/pull/2698
rooster-reminders-back-end,update | patients controller | adds active pts only pracs,qooqu,2024-07-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2697
rooster-reminders-back-end,deploy enh | sync failure notifications | adds more context and formatting to failure notification errors,Gordoburrito,2024-07-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2695
rooster-reminders-back-end,"Deploy | Twilio Brand Registration logging, add test coverage gem, update Pull Request template",Gordoburrito,2024-07-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2696
rooster-reminders-back-end,enh | adds test coverage gem,Gordoburrito,2024-07-23,https://github.com/roostergrin/rooster-reminders-back-end/pull/2694
rooster-reminders-back-end,deploy | c9 syncs | full sync for one location,BryantFukushima,2024-07-23,https://github.com/roostergrin/rooster-reminders-back-end/pull/2692
rooster-reminders-back-end,enh | sync failure notifications | adds more context and formatting to failure notification errors,Gordoburrito,2024-07-23,https://github.com/roostergrin/rooster-reminders-back-end/pull/2693
rooster-reminders-back-end,feat | c9 syncs |  full sync for one location,BryantFukushima,2024-07-22,https://github.com/roostergrin/rooster-reminders-back-end/pull/2691
rooster-reminders-back-end,feat | adds alphanumeric senders,Gordoburrito,2024-07-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2690
rooster-reminders-back-end,enh | Pull Request template | app boyz era PR templates,Gordoburrito,2024-07-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2689
rooster-reminders-back-end,deploy [fix | text sender base | remove opt out] [fix | website leads controller | makes form submissions to the CRM work with new update],Gordoburrito,2024-07-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2687
rooster-reminders-back-end,fix | text sender base | remove opt out,Gordoburrito,2024-07-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2686
rooster-reminders-back-end,Enhancement | Update PULL_REQUEST_TEMPLATE.md | app boy era PRs,Gordoburrito,2024-07-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2688
rooster-reminders-back-end,enh | Twilio Brand Registration | Adds Logging,Gordoburrito,2024-07-18,https://github.com/roostergrin/rooster-reminders-back-end/pull/2684
rooster-reminders-back-end,fix | website leads controller | makes form submissions to the CRM work with new update,Gordoburrito,2024-07-18,https://github.com/roostergrin/rooster-reminders-back-end/pull/2683
rooster-reminders-back-end,deploy | c9 open chair sync | use reservations batch,BryantFukushima,2024-07-18,https://github.com/roostergrin/rooster-reminders-back-end/pull/2685
rooster-reminders-back-end,fix | booking model | add _id to lead_source_contact_type param,Gordoburrito,2024-07-17,https://github.com/roostergrin/rooster-reminders-back-end/pull/2681
rooster-reminders-back-end,deploy fix | booking model | add _id to lead_source_contact_type param,Gordoburrito,2024-07-17,https://github.com/roostergrin/rooster-reminders-back-end/pull/2682
rooster-reminders-back-end,update | LeadSourceContactType | update routes and add controller ,Gordoburrito,2024-07-16,https://github.com/roostergrin/rooster-reminders-back-end/pull/2679
rooster-reminders-back-end,update | c9 open chair sync | use reservations batch,BryantFukushima,2024-07-16,https://github.com/roostergrin/rooster-reminders-back-end/pull/2678
rooster-reminders-back-end,deploy [crm | add lead source contact type] [text_sender base | alpha numeric sender],Gordoburrito,2024-07-16,https://github.com/roostergrin/rooster-reminders-back-end/pull/2677
rooster-reminders-back-end,deploy | LeadSourceContactType | update routes and add controller ,Gordoburrito,2024-07-16,https://github.com/roostergrin/rooster-reminders-back-end/pull/2680
rooster-reminders-back-end,deploy | c9 reservations | batch reservations,BryantFukushima,2024-07-15,https://github.com/roostergrin/rooster-reminders-back-end/pull/2676
rooster-reminders-back-end,fix | c9 reservations | batch reservation sync,BryantFukushima,2024-07-12,https://github.com/roostergrin/rooster-reminders-back-end/pull/2675
rooster-reminders-back-end,Enhancement | text_sender base |  alpha numeric sender irish,Gordoburrito,2024-07-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2674
rooster-reminders-back-end,deploy unhack | patient sync | valley ortho stuff,qooqu,2024-07-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2673
rooster-reminders-back-end,unhack | patient sync | valley ortho stuff,qooqu,2024-07-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2672
rooster-reminders-back-end,enhance | crm | add lead source contact type ,Gordoburrito,2024-07-10,https://github.com/roostergrin/rooster-reminders-back-end/pull/2671
rooster-reminders-back-end,fix | dolphin failed booking alert | missing argument error,BryantFukushima,2024-07-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2668
rooster-reminders-back-end,sketch of a potential samedayLeadevent.,Gordoburrito,2024-07-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2670
rooster-reminders-back-end,deploy | dolphin failed booking alert | fix missing argument error ,BryantFukushima,2024-07-08,https://github.com/roostergrin/rooster-reminders-back-end/pull/2669
rooster-reminders-back-end,fix | skyswitch_utils | adds time to log file name,Gordoburrito,2024-07-03,https://github.com/roostergrin/rooster-reminders-back-end/pull/2666
thread-mobile,"deploy | Enhancement | Login, appState | persistent loginAdds",Gordoburrito,2024-07-03,https://github.com/roostergrin/thread-mobile/pull/217
thread-mobile,Migrating from sentry-expo to @sentry/react-native,Gordoburrito,2024-07-03,https://github.com/roostergrin/thread-mobile/pull/216
rooster-reminders-back-end,"deploy enh | SkyswitchUtils, PBX controller | handles skyswitch subscriptions automagically",Gordoburrito,2024-07-03,https://github.com/roostergrin/rooster-reminders-back-end/pull/2667
thread-mobile,"Staging deploy | Enhancement | Login, appState | persistent login",Gordoburrito,2024-07-02,https://github.com/roostergrin/thread-mobile/pull/215
thread-mobile,"Enhancement | Login, appState | persistent login ",Gordoburrito,2024-07-02,https://github.com/roostergrin/thread-mobile/pull/214
rooster_reminders_front_end,update the x button to be a button instead of listening for the event…,Gordoburrito,2024-07-01,https://github.com/roostergrin/rooster_reminders_front_end/pull/833
rooster_reminders_front_end,deploy | MessageOptionsModal | update event bubbling in the message editor,Gordoburrito,2024-07-01,https://github.com/roostergrin/rooster_reminders_front_end/pull/834
rooster-reminders-back-end,deploy hack | c9 patient sync | make it work for valley ortho ,qooqu,2024-07-01,https://github.com/roostergrin/rooster-reminders-back-end/pull/2665
rooster-reminders-back-end,hack | c9 patient sync | make it work for valley ortho,qooqu,2024-07-01,https://github.com/roostergrin/rooster-reminders-back-end/pull/2664
openchair_widget,update | hideZipInput | adds new option,qooqu,2024-06-28,https://github.com/roostergrin/openchair_widget/pull/293
openchair_widget,deploy update | hideZipInput | adds new option,qooqu,2024-06-28,https://github.com/roostergrin/openchair_widget/pull/294
rooster-reminders-back-end,update | create convos for pts | suppress sentry for forwarded texts,qooqu,2024-06-27,https://github.com/roostergrin/rooster-reminders-back-end/pull/2662
openchair_widget,deploy fix | customTimeBounds | move defaults to createTimesArr,qooqu,2024-06-27,https://github.com/roostergrin/openchair_widget/pull/292
openchair_widget,fix | customTimeBounds | move defaults to createTimesArr,qooqu,2024-06-27,https://github.com/roostergrin/openchair_widget/pull/291
rooster-reminders-back-end,deploy update | create convos for pts | suppress sentry for forwarded texts,qooqu,2024-06-27,https://github.com/roostergrin/rooster-reminders-back-end/pull/2663
rooster-reminders-back-end,update | convos pt contact info | handle case of email address constructed from phone number,qooqu,2024-06-25,https://github.com/roostergrin/rooster-reminders-back-end/pull/2661
rooster-reminders-back-end,update | text forwarding | remove conversation logic NEVERMIND,qooqu,2024-06-25,https://github.com/roostergrin/rooster-reminders-back-end/pull/2660
openchair_widget,fix | pass customTimeBounds to mobile component,qooqu,2024-06-24,https://github.com/roostergrin/openchair_widget/pull/289
rooster-reminders-back-end,fix | skyswitch_worker | skyswitch direction incoming number,Gordoburrito,2024-06-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2658
openchair_widget,deploy | fix | pass customTimeBounds to mobile component,qooqu,2024-06-24,https://github.com/roostergrin/openchair_widget/pull/290
rooster-reminders-back-end,deploy fix | skyswitch_worker | skyswitch incoming number error fixed,Gordoburrito,2024-06-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2659
rooster-reminders-back-end,"enh | SkyswitchUtils, PBX controller | handles skyswitch subscriptions automagically",Gordoburrito,2024-06-20,https://github.com/roostergrin/rooster-reminders-back-end/pull/2657
openchair_widget,deploy | feat | time dropdown | adds option to set upper bound,qooqu,2024-06-20,https://github.com/roostergrin/openchair_widget/pull/288
openchair_widget,fix | adds default value for customTimeBounds,qooqu,2024-06-20,https://github.com/roostergrin/openchair_widget/pull/287
rooster-reminders-back-end,"deploy | update | pbx skyswitch controller to accept more params, updates logging for calls",Gordoburrito,2024-06-19,https://github.com/roostergrin/rooster-reminders-back-end/pull/2656
openchair_widget,feat | time dropdown | adds option to set upper bound,qooqu,2024-06-19,https://github.com/roostergrin/openchair_widget/pull/286
rooster-reminders-back-end,updates logging,Gordoburrito,2024-06-17,https://github.com/roostergrin/rooster-reminders-back-end/pull/2655
rooster-reminders-back-end,update | pbx controller | allow skyswitch params,qooqu,2024-06-14,https://github.com/roostergrin/rooster-reminders-back-end/pull/2654
rooster-reminders-back-end,fix | dolphin | daytime appts sync failure,BryantFukushima,2024-06-14,https://github.com/roostergrin/rooster-reminders-back-end/pull/2652
rooster-reminders-back-end,deploy fix | dolphin | appt sync failures,BryantFukushima,2024-06-14,https://github.com/roostergrin/rooster-reminders-back-end/pull/2653
rooster-reminders-back-end,deploy hack | conversation | don't use cache for harmony,qooqu,2024-06-13,https://github.com/roostergrin/rooster-reminders-back-end/pull/2651
rooster_reminders_front_end,deploy fix | settings | logic for tabs and adds missed call text for depew,qooqu,2024-06-13,https://github.com/roostergrin/rooster_reminders_front_end/pull/832
rooster_reminders_front_end,fix | settings | logic for tabs and adds missed call text for depew,qooqu,2024-06-13,https://github.com/roostergrin/rooster_reminders_front_end/pull/831
rooster-reminders-back-end,deploy update | dolphin rp sync | only get updated since last sync,qooqu,2024-06-13,https://github.com/roostergrin/rooster-reminders-back-end/pull/2649
rooster-reminders-back-end,update | dolphin rp sync | only get updated since last sync,qooqu,2024-06-13,https://github.com/roostergrin/rooster-reminders-back-end/pull/2648
rooster-reminders-back-end,hack | conversation | don't use cache for harmony,qooqu,2024-06-13,https://github.com/roostergrin/rooster-reminders-back-end/pull/2650
rooster_reminders_front_end,deploy update | missed call text | logic and add ricci,qooqu,2024-06-12,https://github.com/roostergrin/rooster_reminders_front_end/pull/830
rooster-reminders-back-end,update | widget auth | short circuit for gtm probes and old dev tokens,qooqu,2024-06-12,https://github.com/roostergrin/rooster-reminders-back-end/pull/2646
rooster_reminders_front_end,update | missed call text | logic and add ricci,qooqu,2024-06-12,https://github.com/roostergrin/rooster_reminders_front_end/pull/829
rooster-reminders-back-end,deploy update | widget auth | short circuit for gtm probes and old dev tokens,qooqu,2024-06-12,https://github.com/roostergrin/rooster-reminders-back-end/pull/2647
rooster-reminders-back-end,update | blast pt statuses | allow shirck to blast inactive pts,qooqu,2024-06-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2642
rooster-reminders-back-end,deploy update | blast pt statuses | allow shirck to blast inactive pts,qooqu,2024-06-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2643
rooster-reminders-back-end,update | widget auth sentry | stop logging gtm probes,qooqu,2024-06-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2644
rooster-reminders-back-end,deploy update | widget auth sentry | stop logging gtm probes,qooqu,2024-06-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2645
rooster-reminders-back-end,deploy | update | active hours | add active hours controller and routes ,Gordoburrito,2024-06-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2641
rooster-reminders-back-end,Update | otv2 | daytime sync perform fix and add sandbox to daytime,BryantFukushima,2024-06-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2639
rooster-reminders-back-end,Deploy | OTV2 | daytime appts fix and add otv2 sandbox,BryantFukushima,2024-06-07,https://github.com/roostergrin/rooster-reminders-back-end/pull/2640
rooster_reminders_front_end,deploy | update | message settings | add Active Hours UI to missed call settings ,Gordoburrito,2024-06-07,https://github.com/roostergrin/rooster_reminders_front_end/pull/828
rooster-reminders-back-end,update | active hours | add active hours controller and routes,Gordoburrito,2024-06-06,https://github.com/roostergrin/rooster-reminders-back-end/pull/2638
rooster-reminders-back-end,deploy | otv2 - daytime syncs | sidekiq manual revert,BryantFukushima,2024-06-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2637
rooster_reminders_front_end,Update | Message Settings | add OrthoTracV2 to eligible pracs,BryantFukushima,2024-06-05,https://github.com/roostergrin/rooster_reminders_front_end/pull/825
rooster_reminders_front_end,deploy | message settings | add otv2 to eligible pmses ,BryantFukushima,2024-06-05,https://github.com/roostergrin/rooster_reminders_front_end/pull/826
rooster-reminders-back-end,Feat | OTV2 | Daytime Syncs,BryantFukushima,2024-06-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2636
rooster_reminders_front_end,update | message settings | add Active Hours UI to missed call settings,Gordoburrito,2024-06-05,https://github.com/roostergrin/rooster_reminders_front_end/pull/827
rooster-reminders-back-end,update | sidekiq | manual revert recent changes,qooqu,2024-06-04,https://github.com/roostergrin/rooster-reminders-back-end/pull/2635
rooster-reminders-back-end,"Revert ""deploy update | sidekiq | mega clean up""",qooqu,2024-06-04,https://github.com/roostergrin/rooster-reminders-back-end/pull/2634
rooster_reminders_front_end,update | custom post | add cb ortho,qooqu,2024-06-03,https://github.com/roostergrin/rooster_reminders_front_end/pull/823
rooster_reminders_front_end,deploy update | custom post | add cb ortho,qooqu,2024-06-03,https://github.com/roostergrin/rooster_reminders_front_end/pull/824
rooster-reminders-back-end,update | sidekiq | even more mega,qooqu,2024-06-01,https://github.com/roostergrin/rooster-reminders-back-end/pull/2632
rooster-reminders-back-end,deploy update | sidekiq | mega clean up,qooqu,2024-06-01,https://github.com/roostergrin/rooster-reminders-back-end/pull/2633
rooster_reminders_front_end,deploy update | left menu | add os to messages icon active,qooqu,2024-05-31,https://github.com/roostergrin/rooster_reminders_front_end/pull/822
rooster_reminders_front_end,update | left menu | add os to messages icon active,qooqu,2024-05-31,https://github.com/roostergrin/rooster_reminders_front_end/pull/821
rooster-reminders-back-end,update | sidekiq | mega clean up,qooqu,2024-05-31,https://github.com/roostergrin/rooster-reminders-back-end/pull/2630
rooster-reminders-back-end,update | sidekiq | more mega,qooqu,2024-05-31,https://github.com/roostergrin/rooster-reminders-back-end/pull/2631
rooster-reminders-back-end,deploy update | dolphin os | add appt id to booking appt,qooqu,2024-05-31,https://github.com/roostergrin/rooster-reminders-back-end/pull/2629
rooster-reminders-back-end,update | dolphin os | add appt id to booking appt,qooqu,2024-05-30,https://github.com/roostergrin/rooster-reminders-back-end/pull/2628
rooster-reminders-back-end,Updates create_lead to use the right variable.,Gordoburrito,2024-05-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2626
rooster-reminders-back-end,deploy | fix create_lead to use the right variable.,Gordoburrito,2024-05-24,https://github.com/roostergrin/rooster-reminders-back-end/pull/2627
openchair_widget,deploy update | add redirect option,qooqu,2024-05-23,https://github.com/roostergrin/openchair_widget/pull/285
thread-mobile,remove the promise resolution,Gordoburrito,2024-05-23,https://github.com/roostergrin/thread-mobile/pull/212
